message,frequency,criticality,recommendation
initializing getorganization dictionary.,379,низкая,"Убедиться, что инициализация словаря происходит корректно и не вызывает задержек или ошибок."
initializing organization dictionary.,379,низкая,"Проверить корректность заполнения организации в словаре, исключить дублирование ключей."
organizations dictionary initialized.,379,низкая,
произошла ошибка:,331,высокая,"Разобраться в причинах возникновения общей ошибки, проанализировать стек-трекинг и исправить ошибку."
"sql error: 0, sqlstate: <num>",66,средняя,"Определить причину SQL-ошибки, проверить корректность запросов и структуры БД."
"error: duplicate key value violates unique constraint ""pk_t_interaction""",66,высокая,"Провести проверку уникальности записей таблицы t_interaction, устранить дублирующие записи, пересмотреть бизнес-правила."
hhh000010: on release of batch it still contained jdbc statements,66,низкая,Проверить корректное освобождение ресурсов JDBC после завершения транзакций.
rquid [b@<num>],45,низкая,
"увск синхронизация с идентификатором <uuid>, не найдено",29,средняя,"Найти и обработать отсутствующие UUID, уточнить причину отсутствия синхронизации."
rquid 46f853ba8e64428ea8298a23e3583e09,26,низкая,
