message,frequency,criticality,recommendation
initializing getorganization dictionary.,379,низкая,Сообщение является информационным и не требует вмешательства.
initializing organization dictionary.,379,низкая,Сообщение является информационным и не требует вмешательства.
organizations dictionary initialized.,379,низкая,Сообщение является информационным и не требует вмешательства.
произошла ошибка:,331,высокая,Необходимо провести детальную диагностику и устранить причину возникновения ошибок.
"sql error: 0, sqlstate: <num>",66,средняя,Провести проверку корректности SQL-запросов и возможных конфликтов БД.
"error: duplicate key value violates unique constraint ""pk_t_interaction""",66,высокая,Проверить уникальность ключей таблицы t_interaction и исправить дублирующиеся записи либо изменить структуру базы данных.
hhh000010: on release of batch it still contained jdbc statements,66,низкая,Сообщение носит информативный характер и не требует немедленного вмешательства.
rquid [b@<num>],45,низкая,Сообщение является информационным и не представляет угрозы.
"увск синхронизация с идентификатором <uuid>, не найдено",29,средняя,"Убедиться, что UUID существует и доступен в системе, проверить корректность работы механизма синхронизации."
rquid 46f853ba8e64428ea8298a23e3583e09,26,низкая,Сообщение является информационным и не требует вмешательства.
