message,frequency,criticality,recommendation
received list of 0 appeal to be pushed to notification topic.,3170,низкая,"Это информационное сообщение, которое сигнализирует о пустом списке уведомлений. Можно добавить логику проверки перед отправкой сообщений пользователям."
запрос на получение organisation pilot,538,низкая,"Сообщение информационного характера, возникающее при нормальной работе системы. Рекомендуется оставить без изменений."
запрос на получение organisation pilot выполнен,538,низкая,Информационное сообщение после успешного выполнения запроса. Оставить без изменений.
поиск обращений для партнера с id=smmarket-4077-4dce-8d54-f25ba16b2544 и поисковым запросом=class appealsearchdto {,522,низкая,"Сообщение информационного уровня, возникающее при нормальном поиске обращений. Не требует действий."
создание обращения для партнера с id=<uuid>,510,низкая,"Информация о создании нового обращения, возникающая регулярно. Оставить без изменений."
создание обращения (id=<uuid>) для партнера с id=<uuid> успешно завершено,279,низкая,"Сообщение об успешном завершении операции, оставляем без изменений."
детальная информация по экспертизе <num> отправлена,241,низкая,"Регулярное информационное сообщение о передаче экспертизы, оставляем без изменений."
"sql error: 0, sqlstate: <num>",231,средняя,Возникновение SQL-ошибок является поводом для внимательного рассмотрения логики запросов и структуры БД. Необходимо проверить корректность SQL-запросов и возможные проблемы с уникальными индексами.
"error: duplicate key value violates unique constraint ""appeals_dzo_appeal_id_organisation_id_index""",231,высокая,"Ошибка дублирования ключа свидетельствует о нарушении целостности базы данных. Следует найти источник дубликатов и устранить проблему, возможно, добавив уникальные ограничения на уровне модели приложения."
hhh000010: on release of batch it still contained jdbc statements,231,низкая,"Сообщение информационного уровня, свидетельствующее о незавершенности работы JDBC-батча. Обычно не представляет угрозы безопасности или стабильности приложения."
